Ticker,Name,Size,Sector,Industry
STRZA,Starz,Small,Consumer Discretionary,Media
TGNA,Tegna Inc,Mid,Consumer Discretionary,Media
TRI,Thomson Reuters Corp,Large,Consumer Discretionary,Media
TIME,Time Inc,Small,Consumer Discretionary,Media
TWC,Time Warner Cable Inc,Large,Consumer Discretionary,Media
TWX,Time Warner Inc,Large,Consumer Discretionary,Media
FOXA,Twenty-First Century Fox Inc,Large,Consumer Discretionary,Media
VIAB,Viacom Inc,Mid,Consumer Discretionary,Media
DIS,Walt Disney Co,Large,Consumer Discretionary,Media
WWE,World Wrestling Entertainment Inc,Small,Consumer Discretionary,Media
BIG,Big Lots Inc,Small,Consumer Discretionary,Multiline Retail
DDS,Dillard's Inc,Small,Consumer Discretionary,Multiline Retail
DG,Dollar General Corp,Large,Consumer Discretionary,Multiline Retail
DLTR,Dollar Tree Inc,Large,Consumer Discretionary,Multiline Retail
JCP,J C Penney Company Inc,Small,Consumer Discretionary,Multiline Retail
KSS,Kohls Corp,Mid,Consumer Discretionary,Multiline Retail
M,Macys Inc,Mid,Consumer Discretionary,Multiline Retail
JWN,Nordstrom Inc,Mid,Consumer Discretionary,Multiline Retail
OLLI,Ollie's Bargain Outlet Holdings Inc,Small,Consumer Discretionary,Multiline Retail
SHLD,Sears Holdings Corp,Small,Consumer Discretionary,Multiline Retail
TGT,Target Corp,Large,Consumer Discretionary,Multiline Retail
AAN,Aaron's Inc,Small,Consumer Discretionary,Specialty Retail
ANF,Abercrombie & Fitch Co,Small,Consumer Discretionary,Specialty Retail
AAP,Advance Auto Parts Inc,Mid,Consumer Discretionary,Specialty Retail
AEO,American Eagle Outfitters Inc,Small,Consumer Discretionary,Specialty Retail
ABG,Asbury Automotive Group Inc,Small,Consumer Discretionary,Specialty Retail
ASNA,Ascena Retail Group Inc,Small,Consumer Discretionary,Specialty Retail
AN,AutoNation Inc,Mid,Consumer Discretionary,Specialty Retail
AZO,Autozone Inc,Large,Consumer Discretionary,Specialty Retail
BBBY,Bed Bath & Beyond Inc,Mid,Consumer Discretionary,Specialty Retail
BBY,Best Buy Co Inc,Mid,Consumer Discretionary,Specialty Retail
BKE,Buckle Inc,Small,Consumer Discretionary,Specialty Retail
BURL,Burlington Stores Inc,Mid,Consumer Discretionary,Specialty Retail
CAB,Cabela's Inc,Small,Consumer Discretionary,Specialty Retail
CAL,Caleres Inc,Small,Consumer Discretionary,Specialty Retail
KMX,Carmax Inc,Mid,Consumer Discretionary,Specialty Retail
CATO,Cato Corp,Small,Consumer Discretionary,Specialty Retail
CHS,Chico's FAS Inc,Small,Consumer Discretionary,Specialty Retail
PLCE,Childrens Place Inc,Small,Consumer Discretionary,Specialty Retail
CST,CST Brands Inc,Small,Consumer Discretionary,Specialty Retail
DKS,Dick's Sporting Goods Inc,Mid,Consumer Discretionary,Specialty Retail
DSW,DSW Inc,Small,Consumer Discretionary,Specialty Retail
EXPR,Express Inc,Small,Consumer Discretionary,Specialty Retail
FIVE,Five Below Inc,Small,Consumer Discretionary,Specialty Retail
FL,Foot Locker Inc,Mid,Consumer Discretionary,Specialty Retail
GME,GameStop Corp,Small,Consumer Discretionary,Specialty Retail
GPS,Gap Inc,Mid,Consumer Discretionary,Specialty Retail
GCO,Genesco Inc,Small,Consumer Discretionary,Specialty Retail
GNC,GNC Holdings Inc,Small,Consumer Discretionary,Specialty Retail
GPI,Group 1 Automotive Inc,Small,Consumer Discretionary,Specialty Retail
GES,Guess? Inc,Small,Consumer Discretionary,Specialty Retail
HD,Home Depot Inc,Large,Consumer Discretionary,Specialty Retail
LB,L Brands Inc,Large,Consumer Discretionary,Specialty Retail
LAD,Lithia Motors Inc,Small,Consumer Discretionary,Specialty Retail
LOW,Lowe's Companies Inc,Large,Consumer Discretionary,Specialty Retail
MFRM,Mattress Firm Holding Corp,Small,Consumer Discretionary,Specialty Retail
MIK,Michaels Companies Inc,Mid,Consumer Discretionary,Specialty Retail
MNRO,Monro Muffler Brake Inc,Small,Consumer Discretionary,Specialty Retail
MUSA,Murphy USA Inc,Small,Consumer Discretionary,Specialty Retail
